iter	Passed	Remaining
0	4	4072
1	7	3684
2	10	3521
3	13	3454
4	15	3110
5	17	2923
6	20	2886
7	22	2824
8	25	2783
9	28	2809
10	30	2780
11	32	2661
12	33	2545
13	34	2445
14	35	2363
15	37	2288
16	38	2223
17	39	2165
18	40	2112
19	42	2063
20	43	2031
21	44	1993
22	46	1960
23	47	1922
24	48	1888
25	49	1861
26	50	1835
27	52	1810
28	53	1789
29	54	1766
30	55	1746
31	57	1726
32	58	1706
33	59	1688
34	60	1679
35	62	1668
36	63	1652
37	64	1636
38	65	1621
39	66	1606
40	68	1595
41	69	1584
42	70	1573
43	71	1563
44	73	1552
45	74	1543
46	75	1537
47	77	1528
48	78	1518
49	79	1509
50	80	1500
51	81	1492
52	83	1488
53	84	1480
54	85	1471
55	86	1462
56	87	1454
57	89	1446
58	90	1439
59	91	1432
60	92	1429
61	94	1424
62	95	1417
63	96	1410
64	97	1404
65	98	1399
66	100	1394
67	101	1384
68	102	1379
69	103	1371
70	104	1367
71	105	1362
72	106	1357
73	108	1355
74	109	1352
75	110	1344
76	111	1337
77	112	1333
78	114	1329
79	115	1323
80	116	1318
81	117	1314
82	118	1311
83	119	1307
84	120	1302
85	122	1301
86	123	1297
87	124	1294
88	126	1290
89	126	1284
90	128	1279
91	129	1275
92	130	1273
93	131	1269
94	132	1265
95	134	1263
96	135	1259
97	136	1256
98	137	1254
99	138	1250
100	140	1249
101	141	1246
102	142	1243
103	143	1240
104	145	1237
105	146	1234
106	147	1230
107	148	1228
108	149	1225
109	151	1222
110	151	1215
111	153	1213
112	154	1210
113	155	1207
114	156	1206
115	157	1203
116	159	1200
117	160	1198
118	161	1196
119	162	1193
120	163	1191
121	165	1188
122	166	1185
123	167	1183
124	168	1180
125	169	1177
126	171	1176
127	172	1174
128	173	1172
129	174	1169
130	175	1167
131	177	1164
132	178	1161
133	179	1159
134	180	1157
135	181	1155
136	182	1152
137	184	1150
138	185	1148
139	186	1146
140	187	1142
141	188	1141
142	190	1142
143	192	1142
144	193	1139
145	194	1139
146	196	1138
147	197	1136
148	198	1132
149	199	1130
150	200	1128
151	201	1126
152	203	1123
153	204	1122
154	205	1121
155	206	1119
156	208	1118
157	209	1116
158	210	1115
159	212	1113
160	213	1112
161	214	1111
162	216	1110
163	217	1109
164	219	1109
165	220	1108
166	222	1108
167	223	1108
168	225	1108
169	227	1108
170	228	1106
171	229	1104
172	230	1102
173	231	1100
174	232	1097
175	234	1096
176	234	1091
177	236	1089
178	237	1087
179	238	1085
180	239	1083
181	240	1081
182	241	1079
183	242	1077
184	244	1076
185	245	1074
186	246	1072
187	247	1070
188	249	1069
189	250	1067
190	251	1065
191	252	1063
192	253	1062
193	255	1060
194	256	1059
195	257	1057
196	258	1055
197	260	1053
198	261	1051
199	262	1050
200	263	1048
201	265	1047
202	266	1045
203	267	1044
204	268	1042
205	269	1040
206	271	1038
207	272	1036
208	273	1033
209	274	1032
210	275	1030
211	276	1028
212	277	1026
213	279	1025
214	280	1022
215	281	1019
216	282	1018
217	283	1016
218	284	1015
219	285	1013
220	287	1011
221	288	1009
222	289	1008
223	290	1007
224	291	1005
225	292	1003
226	294	1002
227	295	1001
228	296	999
229	298	998
230	299	996
231	300	994
232	301	993
233	302	991
234	304	990
235	305	988
236	306	987
237	307	985
238	309	983
239	310	982
240	311	981
241	312	979
242	314	978
243	315	976
244	315	973
245	317	972
246	318	971
247	320	970
248	321	968
249	322	967
250	324	967
251	325	967
252	327	965
253	328	964
254	329	962
255	330	961
256	332	960
257	333	958
258	334	956
259	335	955
260	336	954
261	338	952
262	339	951
263	340	949
264	341	948
265	343	947
266	344	945
267	345	942
268	346	941
269	347	940
270	348	938
271	350	937
272	351	935
273	352	934
